scenario,robots,rep,seed,score
foraging_s1,2,1,3058,4
foraging_s1,2,2,3911,4
foraging_s1,2,3,9343,10
foraging_s1,2,4,3359,5
foraging_s1,2,5,5063,4
foraging_s1,2,6,2872,1
foraging_s1,2,7,1575,3
foraging_s1,2,8,3146,6
foraging_s1,2,9,7428,1
foraging_s1,2,10,4017,3
foraging_s1,4,1,6164,4
foraging_s1,4,2,2883,8
foraging_s1,4,3,7186,1
foraging_s1,4,4,4730,5
foraging_s1,4,5,1464,4
foraging_s1,4,6,5192,8
foraging_s1,4,7,4564,7
foraging_s1,4,8,3349,7
foraging_s1,4,9,6669,6
foraging_s1,4,10,6666,6
foraging_s1,6,1,3281,6
foraging_s1,6,2,2440,5
foraging_s1,6,3,8322,8
foraging_s1,6,4,7179,11
foraging_s1,6,5,9937,5
foraging_s1,6,6,7123,8
foraging_s1,6,7,8261,5
foraging_s1,6,8,7881,6
foraging_s1,6,9,2943,6
foraging_s1,6,10,6742,5
foraging_s1,8,1,7716,6
foraging_s1,8,2,6411,6
foraging_s1,8,3,4485,7
foraging_s1,8,4,6634,9
foraging_s1,8,5,8879,8
foraging_s1,8,6,8838,5
foraging_s1,8,7,5394,9
foraging_s1,8,8,9281,7
foraging_s1,8,9,5162,8
foraging_s1,8,10,7413,7
foraging_s1,10,1,6263,12
foraging_s1,10,2,5795,6
foraging_s1,10,3,3480,11
foraging_s1,10,4,1941,9
foraging_s1,10,5,6350,10
foraging_s1,10,6,3058,8
foraging_s1,10,7,3964,10
foraging_s1,10,8,9318,6
foraging_s1,10,9,7650,11
foraging_s1,10,10,9610,7
foraging_s1,12,1,6526,12
foraging_s1,12,2,6052,8
foraging_s1,12,3,9034,9
foraging_s1,12,4,9218,11
foraging_s1,12,5,3513,11
foraging_s1,12,6,1106,10
foraging_s1,12,7,6651,11
foraging_s1,12,8,2755,11
foraging_s1,12,9,7162,6
foraging_s1,12,10,3125,8
foraging_s1,14,1,1881,6
foraging_s1,14,2,4071,11
foraging_s1,14,3,8389,12
foraging_s1,14,4,5545,11
foraging_s1,14,5,1663,9
foraging_s1,14,6,2627,10
foraging_s1,14,7,8379,15
foraging_s1,14,8,4328,10
foraging_s1,14,9,3213,14
foraging_s1,14,10,5884,12
foraging_s1,16,1,1413,13
foraging_s1,16,2,6766,9
foraging_s1,16,3,3551,8
foraging_s1,16,4,2997,11
foraging_s1,16,5,7057,13
foraging_s1,16,6,9895,8
foraging_s1,16,7,1582,10
foraging_s1,16,8,4815,12
foraging_s1,16,9,6627,9
foraging_s1,16,10,8263,11
foraging_s1,18,1,8696,13
foraging_s1,18,2,5522,17
foraging_s1,18,3,2109,9
foraging_s1,18,4,5483,12
foraging_s1,18,5,8058,9
foraging_s1,18,6,8819,10
foraging_s1,18,7,8739,11
foraging_s1,18,8,2625,10
foraging_s1,18,9,3546,9
foraging_s1,18,10,3415,11
foraging_s1,20,1,3285,10
foraging_s1,20,2,6196,13
foraging_s1,20,3,4943,13
foraging_s1,20,4,4503,11
foraging_s1,20,5,5390,12
foraging_s1,20,6,2786,11
foraging_s1,20,7,7465,11
foraging_s1,20,8,5015,15
foraging_s1,20,9,7622,11
foraging_s1,20,10,5476,11
foraging_s1,22,1,7577,8
foraging_s1,22,2,1741,9
foraging_s1,22,3,3981,12
foraging_s1,22,4,6293,15
foraging_s1,22,5,6809,10
foraging_s1,22,6,2352,13
foraging_s1,22,7,8555,16
foraging_s1,22,8,8660,9
foraging_s1,22,9,7730,15
foraging_s1,22,10,6501,9
foraging_s1,24,1,4398,11
foraging_s1,24,2,6025,11
foraging_s1,24,3,2209,13
foraging_s1,24,4,7577,15
foraging_s1,24,5,1978,13
foraging_s1,24,6,8941,15
foraging_s1,24,7,1938,10
foraging_s1,24,8,4370,12
foraging_s1,24,9,2780,12
foraging_s1,24,10,5231,9
foraging_s1,26,1,4676,13
foraging_s1,26,2,3784,11
foraging_s1,26,3,5318,9
foraging_s1,26,4,2320,11
foraging_s1,26,5,6532,10
foraging_s1,26,6,6155,12
foraging_s1,26,7,1040,14
foraging_s1,26,8,2440,8
foraging_s1,26,9,1684,13
foraging_s1,26,10,2979,13
foraging_s1,28,1,7277,14
foraging_s1,28,2,8685,9
foraging_s1,28,3,8344,16
foraging_s1,28,4,5312,14
foraging_s1,28,5,5453,16
foraging_s1,28,6,1151,14
foraging_s1,28,7,9565,16
foraging_s1,28,8,8881,16
foraging_s1,28,9,2857,8
foraging_s1,28,10,3823,9
foraging_s1,30,1,9838,10
foraging_s1,30,2,6709,16
foraging_s1,30,3,7069,15
foraging_s1,30,4,9196,17
foraging_s1,30,5,6325,11
foraging_s1,30,6,4224,16
foraging_s1,30,7,6059,11
foraging_s1,30,8,5181,10
foraging_s1,30,9,3319,14
foraging_s1,30,10,5061,13
foraging_s1,32,1,4165,16
foraging_s1,32,2,3246,14
foraging_s1,32,3,2986,10
foraging_s1,32,4,6613,12
foraging_s1,32,5,2160,13
foraging_s1,32,6,1471,14
foraging_s1,32,7,9079,12
foraging_s1,32,8,1498,10
foraging_s1,32,9,5753,10
foraging_s1,32,10,9170,13
foraging_s1,34,1,4468,16
foraging_s1,34,2,1089,12
foraging_s1,34,3,7926,15
foraging_s1,34,4,5834,13
foraging_s1,34,5,1896,11
foraging_s1,34,6,2378,14
foraging_s1,34,7,6016,16
foraging_s1,34,8,2751,9
foraging_s1,34,9,7038,11
foraging_s1,34,10,2935,17
foraging_s1,36,1,2326,12
foraging_s1,36,2,3507,14
foraging_s1,36,3,9806,9
foraging_s1,36,4,9874,12
foraging_s1,36,5,9710,13
foraging_s1,36,6,8198,12
foraging_s1,36,7,9742,14
foraging_s1,36,8,5571,12
foraging_s1,36,9,6380,13
foraging_s1,36,10,6162,14
foraging_s1,38,1,7883,10
foraging_s1,38,2,1095,15
foraging_s1,38,3,1446,12
foraging_s1,38,4,9227,16
foraging_s1,38,5,3478,15
foraging_s1,38,6,8338,9
foraging_s1,38,7,6105,11
foraging_s1,38,8,6528,15
foraging_s1,38,9,7642,16
foraging_s1,38,10,7342,10
foraging_s1,40,1,9352,13
foraging_s1,40,2,3755,12
foraging_s1,40,3,5968,13
foraging_s1,40,4,5464,12
foraging_s1,40,5,8981,11
foraging_s1,40,6,7139,12
foraging_s1,40,7,9980,11
foraging_s1,40,8,3779,14
foraging_s1,40,9,6067,11
foraging_s1,40,10,5063,16
foraging_s1,42,1,1643,10
foraging_s1,42,2,6246,12
foraging_s1,42,3,2075,16
foraging_s1,42,4,5147,17
foraging_s1,42,5,9476,16
foraging_s1,42,6,6231,14
foraging_s1,42,7,5905,10
foraging_s1,42,8,1921,13
foraging_s1,42,9,4419,16
foraging_s1,42,10,9360,15
foraging_s1,44,1,4185,14
foraging_s1,44,2,6433,15
foraging_s1,44,3,9092,12
foraging_s1,44,4,5816,16
foraging_s1,44,5,6854,10
foraging_s1,44,6,7808,10
foraging_s1,44,7,6346,13
foraging_s1,44,8,1114,13
foraging_s1,44,9,3388,17
foraging_s1,44,10,3531,13
foraging_s1,46,1,6445,9
foraging_s1,46,2,1093,14
foraging_s1,46,3,8880,14
foraging_s1,46,4,3764,11
foraging_s1,46,5,2173,10
foraging_s1,46,6,2111,11
foraging_s1,46,7,4146,14
foraging_s1,46,8,2166,15
foraging_s1,46,9,7165,13
foraging_s1,46,10,4067,11
foraging_s1,48,1,1601,16
foraging_s1,48,2,7260,18
foraging_s1,48,3,2179,12
foraging_s1,48,4,2048,10
foraging_s1,48,5,1966,16
foraging_s1,48,6,6697,11
foraging_s1,48,7,3983,14
foraging_s1,48,8,1950,11
foraging_s1,48,9,7811,14
foraging_s1,48,10,8510,10
foraging_s1,50,1,3419,14
foraging_s1,50,2,1603,10
foraging_s1,50,3,3750,13
foraging_s1,50,4,3924,11
foraging_s1,50,5,6676,14
foraging_s1,50,6,2453,12
foraging_s1,50,7,3894,14
foraging_s1,50,8,3156,13
foraging_s1,50,9,3458,9
foraging_s1,50,10,9582,12
i_foraging_s1,2,1,4276,0
i_foraging_s1,2,2,7457,1
i_foraging_s1,2,3,8386,1
i_foraging_s1,2,4,4010,0
i_foraging_s1,2,5,6541,1
i_foraging_s1,2,6,2604,0
i_foraging_s1,2,7,3127,2
i_foraging_s1,2,8,4669,2
i_foraging_s1,2,9,1995,3
i_foraging_s1,2,10,4187,2
i_foraging_s1,4,1,8234,3
i_foraging_s1,4,2,7695,3
i_foraging_s1,4,3,2398,2
i_foraging_s1,4,4,7081,0
i_foraging_s1,4,5,2305,3
i_foraging_s1,4,6,5727,2
i_foraging_s1,4,7,5068,1
i_foraging_s1,4,8,8399,1
i_foraging_s1,4,9,1395,0
i_foraging_s1,4,10,4131,2
i_foraging_s1,6,1,3844,2
i_foraging_s1,6,2,6769,2
i_foraging_s1,6,3,5842,2
i_foraging_s1,6,4,5379,0
i_foraging_s1,6,5,3599,0
i_foraging_s1,6,6,4862,4
i_foraging_s1,6,7,8240,0
i_foraging_s1,6,8,7387,2
i_foraging_s1,6,9,4036,0
i_foraging_s1,6,10,5318,0
i_foraging_s1,8,1,3484,2
i_foraging_s1,8,2,4692,5
i_foraging_s1,8,3,1667,1
i_foraging_s1,8,4,5326,3
i_foraging_s1,8,5,1926,3
i_foraging_s1,8,6,2038,5
i_foraging_s1,8,7,1996,1
i_foraging_s1,8,8,2937,1
i_foraging_s1,8,9,2305,0
i_foraging_s1,8,10,6496,3
i_foraging_s1,10,1,9134,1
i_foraging_s1,10,2,2951,4
i_foraging_s1,10,3,7640,0
i_foraging_s1,10,4,2247,0
i_foraging_s1,10,5,1054,1
i_foraging_s1,10,6,2924,4
i_foraging_s1,10,7,5203,0
i_foraging_s1,10,8,1011,3
i_foraging_s1,10,9,6672,1
i_foraging_s1,10,10,3894,2
i_foraging_s1,12,1,1330,4
i_foraging_s1,12,2,6607,3
i_foraging_s1,12,3,1467,3
i_foraging_s1,12,4,3228,3
i_foraging_s1,12,5,5239,3
i_foraging_s1,12,6,2079,3
i_foraging_s1,12,7,3023,1
i_foraging_s1,12,8,3957,2
i_foraging_s1,12,9,6695,1
i_foraging_s1,12,10,5097,2
i_foraging_s1,14,1,1523,1
i_foraging_s1,14,2,5129,0
i_foraging_s1,14,3,9239,0
i_foraging_s1,14,4,5398,3
i_foraging_s1,14,5,4346,0
i_foraging_s1,14,6,2869,2
i_foraging_s1,14,7,5396,6
i_foraging_s1,14,8,1492,7
i_foraging_s1,14,9,5032,2
i_foraging_s1,14,10,3290,2
i_foraging_s1,16,1,2534,5
i_foraging_s1,16,2,5767,1
i_foraging_s1,16,3,1351,5
i_foraging_s1,16,4,5893,1
i_foraging_s1,16,5,4363,2
i_foraging_s1,16,6,6484,1
i_foraging_s1,16,7,5445,3
i_foraging_s1,16,8,4678,1
i_foraging_s1,16,9,6815,3
i_foraging_s1,16,10,6755,1
i_foraging_s1,18,1,6701,6
i_foraging_s1,18,2,6316,1
i_foraging_s1,18,3,3661,3
i_foraging_s1,18,4,9892,0
i_foraging_s1,18,5,5427,1
i_foraging_s1,18,6,5313,2
i_foraging_s1,18,7,6710,3
i_foraging_s1,18,8,9154,8
i_foraging_s1,18,9,4677,2
i_foraging_s1,18,10,4633,1
i_foraging_s1,20,1,2325,7
i_foraging_s1,20,2,7163,2
i_foraging_s1,20,3,9856,0
i_foraging_s1,20,4,6013,3
i_foraging_s1,20,5,9451,1
i_foraging_s1,20,6,5213,2
i_foraging_s1,20,7,3276,2
i_foraging_s1,20,8,1774,1
i_foraging_s1,20,9,3084,3
i_foraging_s1,20,10,3383,3
i_foraging_s1,22,1,5721,3
i_foraging_s1,22,2,4814,2
i_foraging_s1,22,3,4384,2
i_foraging_s1,22,4,1753,0
i_foraging_s1,22,5,2129,2
i_foraging_s1,22,6,8862,3
i_foraging_s1,22,7,5525,3
i_foraging_s1,22,8,7264,1
i_foraging_s1,22,9,6990,4
i_foraging_s1,22,10,1635,3
i_foraging_s1,24,1,1097,5
i_foraging_s1,24,2,5080,0
i_foraging_s1,24,3,3031,0
i_foraging_s1,24,4,4985,5
i_foraging_s1,24,5,2332,0
i_foraging_s1,24,6,6227,3
i_foraging_s1,24,7,1695,7
i_foraging_s1,24,8,4001,4
i_foraging_s1,24,9,2898,1
i_foraging_s1,24,10,7496,8
i_foraging_s1,26,1,2673,6
i_foraging_s1,26,2,6645,3
i_foraging_s1,26,3,2421,4
i_foraging_s1,26,4,4537,3
i_foraging_s1,26,5,5100,8
i_foraging_s1,26,6,5650,2
i_foraging_s1,26,7,7360,1
i_foraging_s1,26,8,2910,1
i_foraging_s1,26,9,9770,6
i_foraging_s1,26,10,2236,3
i_foraging_s1,28,1,2052,2
i_foraging_s1,28,2,2961,3
i_foraging_s1,28,3,5479,2
i_foraging_s1,28,4,1826,5
i_foraging_s1,28,5,8015,2
i_foraging_s1,28,6,3078,2
i_foraging_s1,28,7,4098,3
i_foraging_s1,28,8,3690,12
i_foraging_s1,28,9,2952,5
i_foraging_s1,28,10,6797,5
i_foraging_s1,30,1,2451,5
i_foraging_s1,30,2,5279,5
i_foraging_s1,30,3,6323,2
i_foraging_s1,30,4,6516,8
i_foraging_s1,30,5,2865,3
i_foraging_s1,30,6,1577,5
i_foraging_s1,30,7,4970,4
i_foraging_s1,30,8,9744,4
i_foraging_s1,30,9,5065,2
i_foraging_s1,30,10,2837,4
i_foraging_s1,32,1,1682,2
i_foraging_s1,32,2,5722,7
i_foraging_s1,32,3,3277,5
i_foraging_s1,32,4,2296,4
i_foraging_s1,32,5,3397,7
i_foraging_s1,32,6,9570,3
i_foraging_s1,32,7,4237,5
i_foraging_s1,32,8,9657,3
i_foraging_s1,32,9,6547,2
i_foraging_s1,32,10,7058,8
i_foraging_s1,34,1,6445,0
i_foraging_s1,34,2,5548,4
i_foraging_s1,34,3,7486,4
i_foraging_s1,34,4,9575,8
i_foraging_s1,34,5,5663,2
i_foraging_s1,34,6,6094,2
i_foraging_s1,34,7,1117,2
i_foraging_s1,34,8,7355,1
i_foraging_s1,34,9,1891,4
i_foraging_s1,34,10,4527,2
i_foraging_s1,36,1,3866,7
i_foraging_s1,36,2,5383,2
i_foraging_s1,36,3,8369,9
i_foraging_s1,36,4,4129,1
i_foraging_s1,36,5,1239,0
i_foraging_s1,36,6,7150,5
i_foraging_s1,36,7,3973,3
i_foraging_s1,36,8,3985,9
i_foraging_s1,36,9,3166,4
i_foraging_s1,36,10,9449,4
i_foraging_s1,38,1,3259,4
i_foraging_s1,38,2,4393,1
i_foraging_s1,38,3,6099,3
i_foraging_s1,38,4,1948,1
i_foraging_s1,38,5,8074,0
i_foraging_s1,38,6,9268,3
i_foraging_s1,38,7,5561,8
i_foraging_s1,38,8,4168,5
i_foraging_s1,38,9,5442,9
i_foraging_s1,38,10,3569,4
i_foraging_s1,40,1,8221,5
i_foraging_s1,40,2,5239,8
i_foraging_s1,40,3,6534,4
i_foraging_s1,40,4,6339,0
i_foraging_s1,40,5,1962,2
i_foraging_s1,40,6,5414,2
i_foraging_s1,40,7,9922,6
i_foraging_s1,40,8,5897,5
i_foraging_s1,40,9,4408,3
i_foraging_s1,40,10,3489,7
i_foraging_s1,42,1,8205,4
i_foraging_s1,42,2,8203,1
i_foraging_s1,42,3,8806,3
i_foraging_s1,42,4,7149,5
i_foraging_s1,42,5,2457,0
i_foraging_s1,42,6,7172,5
i_foraging_s1,42,7,1755,3
i_foraging_s1,42,8,2464,10
i_foraging_s1,42,9,3397,3
i_foraging_s1,42,10,6171,2
i_foraging_s1,44,1,6339,8
i_foraging_s1,44,2,4913,6
i_foraging_s1,44,3,2429,4
i_foraging_s1,44,4,7848,3
i_foraging_s1,44,5,4052,3
i_foraging_s1,44,6,6281,4
i_foraging_s1,44,7,4245,8
i_foraging_s1,44,8,7668,9
i_foraging_s1,44,9,2880,4
i_foraging_s1,44,10,3545,5
i_foraging_s1,46,1,9803,5
i_foraging_s1,46,2,2489,6
i_foraging_s1,46,3,6797,3
i_foraging_s1,46,4,6364,3
i_foraging_s1,46,5,6127,6
i_foraging_s1,46,6,3626,3
i_foraging_s1,46,7,4547,2
i_foraging_s1,46,8,2657,5
i_foraging_s1,46,9,6033,4
i_foraging_s1,46,10,3183,4
i_foraging_s1,48,1,5893,4
i_foraging_s1,48,2,2608,4
i_foraging_s1,48,3,2280,4
i_foraging_s1,48,4,8540,4
i_foraging_s1,48,5,3609,6
i_foraging_s1,48,6,6992,6
i_foraging_s1,48,7,5335,4
i_foraging_s1,48,8,5642,5
i_foraging_s1,48,9,6594,3
i_foraging_s1,48,10,2123,7
i_foraging_s1,50,1,6582,5
i_foraging_s1,50,2,1817,0
i_foraging_s1,50,3,3182,2
i_foraging_s1,50,4,6268,5
i_foraging_s1,50,5,2989,3
i_foraging_s1,50,6,8241,5
i_foraging_s1,50,7,8479,2
i_foraging_s1,50,8,9652,3
i_foraging_s1,50,9,4108,3
i_foraging_s1,50,10,6283,0
foraging_s2,10,1,1793,2
foraging_s2,10,2,2125,1
foraging_s2,10,3,1090,3
foraging_s2,10,4,9911,4
foraging_s2,10,5,3506,1
foraging_s2,10,6,4514,5
foraging_s2,10,7,6977,0
foraging_s2,10,8,5190,3
foraging_s2,10,9,9145,1
foraging_s2,10,10,6521,3
foraging_s3,10,1,3744,3
foraging_s3,10,2,6359,5
foraging_s3,10,3,3906,3
foraging_s3,10,4,4229,3
foraging_s3,10,5,6722,3
foraging_s3,10,6,3864,4
foraging_s3,10,7,4576,8
foraging_s3,10,8,2770,5
foraging_s3,10,9,1890,2
foraging_s3,10,10,1386,4
foraging_s4,10,1,4020,1
foraging_s4,10,2,5152,2
foraging_s4,10,3,5378,5
foraging_s4,10,4,3152,3
foraging_s4,10,5,2181,2
foraging_s4,10,6,6127,4
foraging_s4,10,7,3016,6
foraging_s4,10,8,6011,4
foraging_s4,10,9,5443,2
foraging_s4,10,10,4824,4